Dato/klokkeslett;NO1;NO2;NO3;NO4;NO5
2021-04-13 Kl. 01-02;0,50975;0,50975;0,27428;0,21942;0,50975
2021-04-13 Kl. 02-03;0,50621;0,50621;0,27378;0,21902;0,50621
2021-04-13 Kl. 03-04;0,50533;0,50533;0,27706;0,22165;0,50533
2021-04-13 Kl. 04-05;0,50760;0,50760;0,28161;0,22529;0,50760
2021-04-13 Kl. 05-06;0,51974;0,51974;0,28970;0,23176;0,51974
2021-04-13 Kl. 06-07;0,56183;0,56183;0,28085;0,22468;0,56183
2021-04-13 Kl. 07-08;0,61820;0,61820;0,29020;0,23216;0,61820
2021-04-13 Kl. 08-09;0,64854;0,64854;0,30298;0,24238;0,64854
2021-04-13 Kl. 09-10;0,61554;0,61554;0,31005;0,24804;0,61554
2021-04-13 Kl. 10-11;0,56170;0,56170;0,31574;0,25259;0,56170
2021-04-13 Kl. 11-12;0,55538;0,55538;0,33103;0,26482;0,55538
2021-04-13 Kl. 12-13;0,52820;0,52820;0,36465;0,29172;0,52820
2021-04-13 Kl. 13-14;0,52416;0,52416;0,35694;0,28555;0,52416
2021-04-13 Kl. 14-15;0,50646;0,50646;0,33988;0,27190;0,50646
2021-04-13 Kl. 15-16;0,51190;0,51190;0,31144;0,24915;0,51190
2021-04-13 Kl. 16-17;0,52808;0,52808;0,30651;0,24521;0,52808
2021-04-13 Kl. 17-18;0,55475;0,55475;0,30271;0,24217;0,55475
2021-04-13 Kl. 18-19;0,56991;0,56991;0,30348;0,24278;0,56991
2021-04-13 Kl. 19-20;0,59103;0,59103;0,30298;0,24238;0,59103
2021-04-13 Kl. 20-21;0,60240;0,60240;0,30966;0,24773;0,60240
2021-04-13 Kl. 21-22;0,60089;0,60089;0,29981;0,23985;0,60089
2021-04-13 Kl. 22-23;0,57283;0,57283;0,29210;0,23368;0,57283
2021-04-13 Kl. 23-00;0,53428;0,53428;0,27908;0,22326;0,53428
2021-04-14 Kl. 00-01;0,54454;0,54454;0,31019;0,24815;0,54454
2021-04-14 Kl. 01-02;0,54415;0,54415;0,29953;0,23962;0,54415
2021-04-14 Kl. 02-03;0,54593;0,54593;0,29180;0,23344;0,54593
2021-04-14 Kl. 03-04;0,55595;0,55595;0,29129;0,23303;0,55595
2021-04-14 Kl. 04-05;0,55911;0,55911;0,28634;0,22907;0,55911
2021-04-14 Kl. 05-06;0,62418;0,62418;0,28444;0,22755;0,62418
2021-04-14 Kl. 06-07;0,96784;0,93676;0,27785;0,22228;0,93676
2021-04-14 Kl. 07-08;1,50299;1,45493;0,30410;0,22958;0,60833
2021-04-14 Kl. 08-09;1,58516;1,53444;0,31818;0,24216;0,62341
2021-04-14 Kl. 09-10;0,95794;0,85915;0,32210;0,25139;0,63014
2021-04-14 Kl. 10-11;0,79410;0,62721;0,31983;0,24754;0,62011
2021-04-14 Kl. 11-12;0,78725;0,63140;0,31044;0,24510;0,59298
2021-04-14 Kl. 12-13;0,73919;0,63216;0,30398;0,24318;0,62938
2021-04-14 Kl. 13-14;0,69139;0,62911;0,30359;0,24287;0,62911
2021-04-14 Kl. 14-15;0,59374;0,59374;0,29915;0,23932;0,59374
2021-04-14 Kl. 15-16;0,59793;0,59793;0,29826;0,23861;0,58030
2021-04-14 Kl. 16-17;0,62329;0,62329;0,29636;0,23709;0,57851
2021-04-14 Kl. 17-18;0,63026;0,63026;0,30371;0,24297;0,57865
2021-04-14 Kl. 18-19;0,63000;0,63000;0,31170;0,24936;0,62036
2021-04-14 Kl. 19-20;0,63216;0,63216;0,32451;0,25961;0,62151
2021-04-14 Kl. 20-21;0,64560;0,63394;0,32528;0,26022;0,63394
2021-04-14 Kl. 21-22;0,63330;0,63330;0,31614;0,25291;0,63330
2021-04-14 Kl. 22-23;0,63318;0,63318;0,30093;0,24074;0,63318
2021-04-14 Kl. 23-00;0,56710;0,56710;0,28825;0,23060;0,56710
2021-04-15 Kl. 00-01;0,66973;0,66973;0,32219;0,23978;0,66973
2021-04-15 Kl. 01-02;0,63983;0,63983;0,32180;0,23918;0,63983
2021-04-15 Kl. 02-03;0,60438;0,60438;0,31966;0,23918;0,60438
2021-04-15 Kl. 03-04;0,67035;0,67035;0,31865;0,23958;0,67035
2021-04-15 Kl. 04-05;0,74680;0,74680;0,31764;0,23999;0,74680
2021-04-15 Kl. 05-06;0,62949;0,62949;0,31525;0,24372;0,62949
2021-04-15 Kl. 06-07;0,89024;0,89024;0,32041;0,25633;0,89024
2021-04-15 Kl. 07-08;1,28406;1,28406;0,33000;0,26400;1,04653
2021-04-15 Kl. 08-09;1,45285;1,44541;0,35120;0,28096;1,07201
2021-04-15 Kl. 09-10;0,94978;0,74794;0,36558;0,29246;0,67679
2021-04-15 Kl. 10-11;0,83170;0,63591;0,37251;0,29801;0,63591
2021-04-15 Kl. 11-12;0,76724;0,76724;0,37290;0,29832;0,76724
2021-04-15 Kl. 12-13;0,63616;0,63616;0,36508;0,29206;0,63616
2021-04-15 Kl. 13-14;0,61321;0,61321;0,34981;0,27985;0,61321
2021-04-15 Kl. 14-15;0,57385;0,57385;0,34766;0,26108;0,57385
2021-04-15 Kl. 15-16;0,57058;0,57058;0,35435;0,25220;0,57058
2021-04-15 Kl. 16-17;0,59038;0,59038;0,35789;0,25220;0,59038
2021-04-15 Kl. 17-18;0,62469;0,62469;0,37416;0,26128;0,59644
2021-04-15 Kl. 18-19;0,76484;0,76484;0,37996;0,28833;0,58698
2021-04-15 Kl. 19-20;0,95028;0,95028;0,37328;0,29862;0,58433
2021-04-15 Kl. 20-21;0,86929;0,86929;0,35978;0,28782;0,61978
2021-04-15 Kl. 21-22;0,70454;0,70454;0,33530;0,26138;0,61990
2021-04-15 Kl. 22-23;0,62179;0,62179;0,33076;0,25714;0,61599
2021-04-15 Kl. 23-00;0,60526;0,60526;0,32016;0,24947;0,60236
2021-04-16 Kl. 00-01;0,59941;0,59941;0,33829;0,25072;0,59941
2021-04-16 Kl. 01-02;0,60821;0,60821;0,33150;0,24972;0,60821
2021-04-16 Kl. 02-03;0,60909;0,60909;0,32673;0,24871;0,60909
2021-04-16 Kl. 03-04;0,61073;0,61073;0,33351;0,24610;0,61073
2021-04-16 Kl. 04-05;0,61951;0,61951;0,34055;0,24660;0,61814
2021-04-16 Kl. 05-06;0,66539;0,66539;0,37674;0,25002;0,62429
2021-04-16 Kl. 06-07;0,71841;0,71841;0,38968;0,28470;0,62543
2021-04-16 Kl. 07-08;1,04728;1,04728;0,39596;0,31677;0,64829
2021-04-16 Kl. 08-09;1,17859;1,17018;0,42260;0,33808;0,67405
2021-04-16 Kl. 09-10;0,80424;0,78099;0,41959;0,33567;0,67858
2021-04-16 Kl. 10-11;0,62756;0,62756;0,40728;0,32582;0,62756
2021-04-16 Kl. 11-12;0,61424;0,61424;0,39609;0,30280;0,61424
2021-04-16 Kl. 12-13;0,60180;0,60180;0,38855;0,31084;0,60180
2021-04-16 Kl. 13-14;0,59576;0,59576;0,38591;0,26580;0,59576
2021-04-16 Kl. 14-15;0,57340;0,57340;0,38943;0,24982;0,57340
2021-04-16 Kl. 15-16;0,56084;0,56084;0,38868;0,25002;0,56084
2021-04-16 Kl. 16-17;0,56373;0,56373;0,38303;0,24941;0,56373
2021-04-16 Kl. 17-18;0,57654;0,57654;0,38843;0,24941;0,57654
2021-04-16 Kl. 18-19;0,58735;0,58735;0,39333;0,25163;0,58735
2021-04-16 Kl. 19-20;0,58433;0,58433;0,39571;0,25826;0,58433
2021-04-16 Kl. 20-21;0,57239;0,57239;0,40036;0,26329;0,57239
2021-04-16 Kl. 21-22;0,59200;0,59200;0,34746;0,26017;0,59200
2021-04-16 Kl. 22-23;0,60444;0,60444;0,33891;0,26258;0,60444
2021-04-16 Kl. 23-00;0,59061;0,59061;0,33740;0,25092;0,59061
2021-04-17 Kl. 00-01;0,61316;0,61316;0,35446;0,25700;0,61316
2021-04-17 Kl. 01-02;0,61404;0,61404;0,33816;0,25399;0,61404
2021-04-17 Kl. 02-03;0,61141;0,61141;0,32463;0,25048;0,61141
2021-04-17 Kl. 03-04;0,61141;0,61141;0,33015;0,25018;0,61141
2021-04-17 Kl. 04-05;0,61229;0,61229;0,33716;0,25008;0,61229
2021-04-17 Kl. 05-06;0,61015;0,61015;0,33479;0,25038;0,61015
2021-04-17 Kl. 06-07;0,58434;0,58434;0,31824;0,25459;0,58434
2021-04-17 Kl. 07-08;0,58183;0,58183;0,33654;0,25890;0,58183
2021-04-17 Kl. 08-09;0,59185;0,59185;0,33228;0,26191;0,59185
2021-04-17 Kl. 09-10;0,59574;0,59574;0,33943;0,26933;0,59574
2021-04-17 Kl. 10-11;0,60953;0,60953;0,34344;0,27475;0,60953
2021-04-17 Kl. 11-12;0,60289;0,60289;0,32965;0,26372;0,60289
2021-04-17 Kl. 12-13;0,60551;0,60551;0,31423;0,25138;0,60551
2021-04-17 Kl. 13-14;0,58309;0,58309;0,31185;0,24948;0,58309
2021-04-17 Kl. 14-15;0,58810;0,58810;0,30971;0,24777;0,58810
2021-04-17 Kl. 15-16;0,58873;0,58873;0,31034;0,24827;0,58873
2021-04-17 Kl. 16-17;0,58798;0,58798;0,31360;0,24827;0,58798
2021-04-17 Kl. 17-18;0,61104;0,61104;0,32789;0,24898;0,61104
2021-04-17 Kl. 18-19;0,62306;0,62306;0,34155;0,24968;0,62306
2021-04-17 Kl. 19-20;0,62883;0,62883;0,34606;0,25609;0,62883
2021-04-17 Kl. 20-21;0,62845;0,62845;0,34080;0,26251;0,62845
2021-04-17 Kl. 21-22;0,63961;0,63961;0,33854;0,25830;0,63961
2021-04-17 Kl. 22-23;0,63246;0,63246;0,33604;0,25660;0,63246
2021-04-17 Kl. 23-00;0,61805;0,61805;0,31599;0,24958;0,61805
2021-04-18 Kl. 00-01;0,61200;0,61200;0,31050;0,24840;0,61200
2021-04-18 Kl. 01-02;0,60061;0,60061;0,30550;0,24440;0,60061
2021-04-18 Kl. 02-03;0,59874;0,59874;0,30163;0,24130;0,59874
2021-04-18 Kl. 03-04;0,59811;0,59811;0,30263;0,24210;0,59811
2021-04-18 Kl. 04-05;0,60099;0,60099;0,30413;0,24330;0,60099
2021-04-18 Kl. 05-06;0,59824;0,59824;0,30563;0,24450;0,59824
2021-04-18 Kl. 06-07;0,59299;0,59299;0,30650;0,24520;0,59299
2021-04-18 Kl. 07-08;0,59186;0,59186;0,30888;0,24710;0,59186
2021-04-18 Kl. 08-09;0,59811;0,59811;0,31200;0,24960;0,59811
2021-04-18 Kl. 09-10;0,60224;0,60224;0,32301;0,25841;0,60224
2021-04-18 Kl. 10-11;0,60350;0,60350;0,32464;0,25971;0,60350
2021-04-18 Kl. 11-12;0,60161;0,60161;0,31250;0,25000;0,60161
2021-04-18 Kl. 12-13;0,62626;0,62626;0,31188;0,24950;0,62626
2021-04-18 Kl. 13-14;0,61400;0,61400;0,30900;0,24720;0,61400
2021-04-18 Kl. 14-15;0,58949;0,58949;0,30763;0,24610;0,58949
2021-04-18 Kl. 15-16;0,58298;0,58298;0,30613;0,24490;0,58298
2021-04-18 Kl. 16-17;0,59986;0,59986;0,31050;0,24840;0,59986
2021-04-18 Kl. 17-18;0,62426;0,62426;0,32226;0,25781;0,62426
2021-04-18 Kl. 18-19;0,64103;0,64103;0,33703;0,26962;0,64103
2021-04-18 Kl. 19-20;0,64778;0,64778;0,33140;0,26512;0,64778
2021-04-18 Kl. 20-21;0,64941;0,64941;0,32651;0,26121;0,64941
2021-04-18 Kl. 21-22;0,65529;0,65529;0,32001;0,25601;0,65529
2021-04-18 Kl. 22-23;0,63928;0,63928;0,31050;0,24840;0,63928
2021-04-18 Kl. 23-00;0,61889;0,61889;0,29711;0,23769;0,61889
2021-04-19 Kl. 00-01;0,59849;0,59849;0,27348;0,21878;0,59849
2021-04-19 Kl. 01-02;0,58874;0,58874;0,27598;0,22078;0,58874
2021-04-19 Kl. 02-03;0,58811;0,58811;0,27485;0,21988;0,58811
2021-04-19 Kl. 03-04;0,58749;0,58749;0,28148;0,22518;0,58749
2021-04-19 Kl. 04-05;0,58911;0,58911;0,29186;0,23349;0,58911
2021-04-19 Kl. 05-06;0,59786;0,59786;0,33765;0,25131;0,59786
2021-04-19 Kl. 06-07;0,58223;0,58223;0,41671;0,27483;0,58223
2021-04-19 Kl. 07-08;0,62489;0,62489;0,62489;0,28333;0,62489
2021-04-19 Kl. 08-09;0,67280;0,67280;0,67280;0,29694;0,67280
2021-04-19 Kl. 09-10;0,63865;0,63865;0,63865;0,27192;0,63865
2021-04-19 Kl. 10-11;0,63928;0,63928;0,63928;0,25401;0,63928
2021-04-19 Kl. 11-12;0,59911;0,59911;0,59911;0,24870;0,59911
2021-04-19 Kl. 12-13;0,58735;0,58735;0,58735;0,24870;0,58735
2021-04-19 Kl. 13-14;0,57798;0,57798;0,50041;0,24750;0,57798
2021-04-19 Kl. 14-15;0,57610;0,57610;0,43749;0,24710;0,57610
2021-04-19 Kl. 15-16;0,57723;0,57723;0,42248;0,24500;0,57723
2021-04-19 Kl. 16-17;0,57623;0,57623;0,40646;0,25000;0,57623
2021-04-19 Kl. 17-18;0,58348;0,58348;0,38594;0,25401;0,58348
2021-04-19 Kl. 18-19;0,58560;0,58560;0,36330;0,27122;0,58560
2021-04-19 Kl. 19-20;0,58498;0,58498;0,33740;0,26992;0,58498
2021-04-19 Kl. 20-21;0,58285;0,58285;0,33103;0,26482;0,58285
2021-04-19 Kl. 21-22;0,58485;0,58485;0,31976;0,25581;0,58485
2021-04-19 Kl. 22-23;0,58598;0,58598;0,30538;0,24430;0,58598
2021-04-19 Kl. 23-00;0,57998;0,57998;0,28586;0,22869;0,57998
2021-04-20 Kl. 00-01;0,57845;0,57845;0,29540;0,23632;0,57845
2021-04-20 Kl. 01-02;0,57420;0,57420;0,29329;0,23463;0,57420
2021-04-20 Kl. 02-03;0,57370;0,57370;0,29229;0,23383;0,57370
2021-04-20 Kl. 03-04;0,57395;0,57395;0,29703;0,23762;0,57395
2021-04-20 Kl. 04-05;0,57345;0,57345;0,30464;0,24371;0,57345
2021-04-20 Kl. 05-06;0,58045;0,58045;0,30901;0,24721;0,58045
2021-04-20 Kl. 06-07;0,57108;0,57108;0,33086;0,26469;0,57108
2021-04-20 Kl. 07-08;0,58033;0,58033;0,35995;0,27548;0,58033
2021-04-20 Kl. 08-09;0,60604;0,60604;0,40440;0,32352;0,60604
2021-04-20 Kl. 09-10;0,58133;0,58133;0,41814;0,30055;0,58133
2021-04-20 Kl. 10-11;0,57220;0,57220;0,40065;0,27887;0,57220
2021-04-20 Kl. 11-12;0,56971;0,56971;0,36881;0,27168;0,56971
2021-04-20 Kl. 12-13;0,56846;0,56846;0,35034;0,25420;0,56846
2021-04-20 Kl. 13-14;0,57009;0,57009;0,32686;0,25230;0,57009
2021-04-20 Kl. 14-15;0,56959;0,56959;0,31301;0,25041;0,56959
2021-04-20 Kl. 15-16;0,57095;0,57095;0,30901;0,24721;0,57095
2021-04-20 Kl. 16-17;0,57108;0,57108;0,30265;0,24212;0,57108
2021-04-20 Kl. 17-18;0,57208;0,57208;0,30390;0,24312;0,57208
2021-04-20 Kl. 18-19;0,57071;0,57071;0,31051;0,24841;0,57071
2021-04-20 Kl. 19-20;0,57120;0,57120;0,30764;0,24611;0,57120
2021-04-20 Kl. 20-21;0,57208;0,57208;0,30614;0,24491;0,57208
2021-04-20 Kl. 21-22;0,57820;0,57820;0,28816;0,23053;0,57820
2021-04-20 Kl. 22-23;0,57933;0,57933;0,27993;0,22394;0,57933
2021-04-20 Kl. 23-00;0,57308;0,57308;0,27655;0,22124;0,57308
2021-04-21 Kl. 00-01;0,56503;0,56503;0,27514;0,22011;0,56503
2021-04-21 Kl. 01-02;0,55953;0,55953;0,27464;0,21971;0,55953
2021-04-21 Kl. 02-03;0,55678;0,55678;0,27551;0,22041;0,55678
2021-04-21 Kl. 03-04;0,55540;0,55540;0,27701;0,22161;0,55540
2021-04-21 Kl. 04-05;0,55465;0,55465;0,28889;0,23111;0,55465
2021-04-21 Kl. 05-06;0,56215;0,56215;0,31050;0,24840;0,56215
2021-04-21 Kl. 06-07;0,56940;0,56940;0,33761;0,27009;0,56940
2021-04-21 Kl. 07-08;0,57603;0,57603;0,36623;0,29298;0,57603
2021-04-21 Kl. 08-09;0,57778;0,57778;0,42633;0,34106;0,57778
2021-04-21 Kl. 09-10;0,56353;0,56353;0,40871;0,32697;0,56353
2021-04-21 Kl. 10-11;0,53829;0,53829;0,37098;0,29678;0,53829
2021-04-21 Kl. 11-12;0,52929;0,52929;0,36173;0,28938;0,52929
2021-04-21 Kl. 12-13;0,51916;0,51916;0,34986;0,27989;0,51916
2021-04-21 Kl. 13-14;0,49118;0,49118;0,34124;0,27299;0,49118
2021-04-21 Kl. 14-15;0,47731;0,47731;0,33149;0,26519;0,47731
2021-04-21 Kl. 15-16;0,45544;0,45544;0,32463;0,25970;0,45544
2021-04-21 Kl. 16-17;0,43645;0,43645;0,31138;0,24910;0,43645
2021-04-21 Kl. 17-18;0,49580;0,49580;0,30838;0,24670;0,49580
2021-04-21 Kl. 18-19;0,51929;0,51929;0,31288;0,25030;0,51929
2021-04-21 Kl. 19-20;0,52316;0,52316;0,31488;0,25190;0,52316
2021-04-21 Kl. 20-21;0,52866;0,52866;0,31763;0,25410;0,52866
2021-04-21 Kl. 21-22;0,52641;0,52641;0,30488;0,24390;0,52641
2021-04-21 Kl. 22-23;0,51779;0,51779;0,29401;0,23521;0,51779
2021-04-21 Kl. 23-00;0,49443;0,49443;0,29651;0,23721;0,49443
2021-04-22 Kl. 00-01;0,48888;0,48888;0,27465;0,21972;0,48888
2021-04-22 Kl. 01-02;0,49265;0,49265;0,27251;0,21801;0,49265
2021-04-22 Kl. 02-03;0,49278;0,49278;0,27089;0,21671;0,49278
2021-04-22 Kl. 03-04;0,49780;0,49780;0,26888;0,21510;0,49780
2021-04-22 Kl. 04-05;0,49918;0,49918;0,26925;0,21540;0,49918
2021-04-22 Kl. 05-06;0,49893;0,49893;0,26524;0,21219;0,49893
2021-04-22 Kl. 06-07;0,53524;0,53524;0,27415;0,21932;0,53524
2021-04-22 Kl. 07-08;0,56841;0,56841;0,27755;0,22204;0,56841
2021-04-22 Kl. 08-09;0,57143;0,57143;0,28295;0,22636;0,57143
2021-04-22 Kl. 09-10;0,55446;0,55446;0,28308;0,22646;0,55446
2021-04-22 Kl. 10-11;0,52870;0,52870;0,28270;0,22616;0,52870
2021-04-22 Kl. 11-12;0,49868;0,49868;0,28144;0,22515;0,49868
2021-04-22 Kl. 12-13;0,48109;0,48109;0,27691;0,22153;0,48109
2021-04-22 Kl. 13-14;0,44176;0,44176;0,27641;0,22113;0,44176
2021-04-22 Kl. 14-15;0,42191;0,42191;0,27278;0,21822;0,42241
2021-04-22 Kl. 15-16;0,41399;0,41399;0,27026;0,21621;0,41953
2021-04-22 Kl. 16-17;0,45156;0,45156;0,27051;0,21641;0,45156
2021-04-22 Kl. 17-18;0,50144;0,50144;0,30129;0,24103;0,50144
2021-04-22 Kl. 18-19;0,52820;0,52820;0,28748;0,22998;0,52820
2021-04-22 Kl. 19-20;0,55648;0,55648;0,29074;0,23259;0,55648
2021-04-22 Kl. 20-21;0,55345;0,55345;0,28935;0,23148;0,55345
2021-04-22 Kl. 21-22;0,55183;0,55183;0,28370;0,22696;0,55183
2021-04-22 Kl. 22-23;0,53939;0,53939;0,28245;0,22596;0,53939
2021-04-22 Kl. 23-00;0,51564;0,51564;0,27729;0,22183;0,51564
2021-04-23 Kl. 00-01;0,54486;0,54486;0,27506;0,22005;0,54486
2021-04-23 Kl. 01-02;0,54360;0,54360;0,27619;0,22095;0,54360
2021-04-23 Kl. 02-03;0,54724;0,54724;0,27958;0,22366;0,54724
2021-04-23 Kl. 03-04;0,55814;0,55814;0,28471;0,22777;0,55814
2021-04-23 Kl. 04-05;0,56629;0,56629;0,28784;0,23027;0,56629
2021-04-23 Kl. 05-06;0,57068;0,57068;0,31128;0,23469;0,57068
2021-04-23 Kl. 06-07;0,57293;0,57293;0,34198;0,24090;0,57293
2021-04-23 Kl. 07-08;0,61704;0,61704;0,35865;0,24210;0,61704
2021-04-23 Kl. 08-09;0,66791;0,66791;0,36829;0,24421;0,66791
2021-04-23 Kl. 09-10;0,60940;0,60940;0,36391;0,24120;0,60940
2021-04-23 Kl. 10-11;0,58871;0,58871;0,35063;0,23789;0,58871
2021-04-23 Kl. 11-12;0,57569;0,57569;0,34599;0,23208;0,57569
2021-04-23 Kl. 12-13;0,56741;0,56741;0,33985;0,22997;0,56741
2021-04-23 Kl. 13-14;0,53295;0,53295;0,32356;0,22847;0,53295
2021-04-23 Kl. 14-15;0,50138;0,50138;0,29285;0,23078;0,50138
2021-04-23 Kl. 15-16;0,51654;0,51654;0,28208;0,22566;0,51654
2021-04-23 Kl. 16-17;0,53671;0,53671;0,28083;0,22466;0,53671
2021-04-23 Kl. 17-18;0,55138;0,55138;0,28559;0,22847;0,55138
2021-04-23 Kl. 18-19;0,56816;0,56816;0,28195;0,22556;0,56816
2021-04-23 Kl. 19-20;0,57293;0,57293;0,28998;0,23198;0,57293
2021-04-23 Kl. 20-21;0,58045;0,58045;0,29085;0,23268;0,58045
2021-04-23 Kl. 21-22;0,58571;0,58571;0,29399;0,23418;0,58571
2021-04-23 Kl. 22-23;0,58446;0,58446;0,29148;0,23318;0,58446
2021-04-23 Kl. 23-00;0,58233;0,58233;0,28734;0,22987;0,58233
2021-04-24 Kl. 00-01;0,60613;0,60613;0,29941;0,23953;0,60613
2021-04-24 Kl. 01-02;0,60073;0,60073;0,29451;0,23561;0,60073
2021-04-24 Kl. 02-03;0,59971;0,59971;0,29289;0,23431;0,59971
2021-04-24 Kl. 03-04;0,60021;0,60021;0,29200;0,23360;0,60021
2021-04-24 Kl. 04-05;0,60248;0,60248;0,28974;0,23179;0,60248
2021-04-24 Kl. 05-06;0,60876;0,60876;0,29289;0,23431;0,60876
2021-04-24 Kl. 06-07;0,60223;0,60223;0,29904;0,23923;0,60223
2021-04-24 Kl. 07-08;0,60926;0,60926;0,30545;0,24436;0,60926
2021-04-24 Kl. 08-09;0,61655;0,61655;0,31500;0,23722;0,61655
2021-04-24 Kl. 09-10;0,61279;0,61279;0,32028;0,23823;0,61279
2021-04-24 Kl. 10-11;0,59821;0,59821;0,32078;0,23712;0,59821
2021-04-24 Kl. 11-12;0,58325;0,58325;0,31513;0,23320;0,58325
2021-04-24 Kl. 12-13;0,55235;0,55235;0,31274;0,22938;0,55235
2021-04-24 Kl. 13-14;0,50786;0,50786;0,29088;0,22908;0,50786
2021-04-24 Kl. 14-15;0,46528;0,46528;0,28710;0,22667;0,46528
2021-04-24 Kl. 15-16;0,47608;0,47608;0,27869;0,22295;0,47608
2021-04-24 Kl. 16-17;0,50938;0,50938;0,28371;0,22697;0,50938
2021-04-24 Kl. 17-18;0,55171;0,55171;0,28560;0,22848;0,55171
2021-04-24 Kl. 18-19;0,58300;0,58300;0,30219;0,24175;0,58300
2021-04-24 Kl. 19-20;0,59531;0,59531;0,30670;0,24536;0,59531
2021-04-24 Kl. 20-21;0,60273;0,60273;0,31413;0,24577;0,60273
2021-04-24 Kl. 21-22;0,60185;0,60185;0,31463;0,24557;0,60185
2021-04-24 Kl. 22-23;0,60424;0,60424;0,31500;0,23843;0,60424
2021-04-24 Kl. 23-00;0,60273;0,60273;0,31488;0,23853;0,60273
2021-04-25 Kl. 00-01;0,61639;0,61639;0,33413;0,23112;0,61639
2021-04-25 Kl. 01-02;0,58945;0,58945;0,33475;0,23022;0,58945
2021-04-25 Kl. 02-03;0,59070;0,59070;0,33839;0,22972;0,59070
2021-04-25 Kl. 03-04;0,58694;0,58694;0,33964;0,22942;0,58694
2021-04-25 Kl. 04-05;0,58281;0,58281;0,34114;0,22962;0,58281
2021-04-25 Kl. 05-06;0,57705;0,57705;0,34051;0,22931;0,57705
2021-04-25 Kl. 06-07;0,55638;0,55638;0,34101;0,22962;0,55638
2021-04-25 Kl. 07-08;0,55386;0,55386;0,34265;0,23032;0,55386
2021-04-25 Kl. 08-09;0,54348;0,54348;0,34340;0,23322;0,54348
2021-04-25 Kl. 09-10;0,50088;0,50088;0,34390;0,23673;0,50088
2021-04-25 Kl. 10-11;0,50200;0,50200;0,34290;0,23723;0,50200
2021-04-25 Kl. 11-12;0,49875;0,49875;0,33914;0,23302;0,49875
2021-04-25 Kl. 12-13;0,49299;0,49299;0,33138;0,23062;0,49299
2021-04-25 Kl. 13-14;0,48998;0,48998;0,33086;0,23042;0,48998
2021-04-25 Kl. 14-15;0,47970;0,47970;0,33086;0,23022;0,47970
2021-04-25 Kl. 15-16;0,46780;0,46780;0,33086;0,23032;0,47933
2021-04-25 Kl. 16-17;0,46580;0,46580;0,33111;0,23122;0,46580
2021-04-25 Kl. 17-18;0,51203;0,51203;0,33138;0,21609;0,51203
2021-04-25 Kl. 18-19;0,55011;0,55011;0,33801;0,24325;0,55011
2021-04-25 Kl. 19-20;0,58068;0,58068;0,34253;0,27402;0,58068
2021-04-25 Kl. 20-21;0,58958;0,58958;0,34465;0,27542;0,58958
2021-04-25 Kl. 21-22;0,60574;0,60574;0,34966;0,27542;0,60574
2021-04-25 Kl. 22-23;0,61839;0,61839;0,35054;0,26289;0,61839
2021-04-25 Kl. 23-00;0,62228;0,62228;0,34854;0,23413;0,62228
2021-04-26 Kl. 00-01;0,60511;0,60511;0,47670;0,23212;0,60511
2021-04-26 Kl. 01-02;0,59646;0,59646;0,46466;0,22992;0,59646
2021-04-26 Kl. 02-03;0,59746;0,59746;0,47858;0,22931;0,59746
2021-04-26 Kl. 03-04;0,60060;0,60060;0,49286;0,23052;0,60060
2021-04-26 Kl. 04-05;0,60624;0,60624;0,58895;0,23382;0,60624
2021-04-26 Kl. 05-06;0,62026;0,62026;0,62026;0,27221;0,62026
2021-04-26 Kl. 06-07;0,67589;0,67589;0,67589;0,35850;0,67589
2021-04-26 Kl. 07-08;0,99385;0,99385;0,99385;0,67311;0,99385
2021-04-26 Kl. 08-09;1,01891;1,01891;1,01891;0,81513;1,01891
2021-04-26 Kl. 09-10;0,90115;0,90115;0,90115;0,72092;0,90115
2021-04-26 Kl. 10-11;0,65121;0,64106;0,65121;0,52097;0,65121
2021-04-26 Kl. 11-12;0,63981;0,62128;0,63981;0,51185;0,63981
2021-04-26 Kl. 12-13;0,62791;0,60975;0,62791;0,50233;0,62791
2021-04-26 Kl. 13-14;0,61375;0,59596;0,61375;0,49100;0,61375
2021-04-26 Kl. 14-15;0,60561;0,58808;0,60561;0,48449;0,60561
2021-04-26 Kl. 15-16;0,61564;0,59771;0,61564;0,49251;0,61564
2021-04-26 Kl. 16-17;0,62026;0,61764;0,62026;0,49621;0,62026
2021-04-26 Kl. 17-18;0,65760;0,65760;0,65760;0,52608;0,65760
2021-04-26 Kl. 18-19;0,77073;0,77073;0,77073;0,61658;0,77073
2021-04-26 Kl. 19-20;0,95953;0,95953;0,95953;0,76762;0,95953
2021-04-26 Kl. 20-21;0,98258;0,98258;0,98258;0,78606;0,98258
2021-04-26 Kl. 21-22;0,84929;0,84929;0,84929;0,67943;0,84929
2021-04-26 Kl. 22-23;0,74994;0,74994;0,74994;0,59995;0,74994
2021-04-26 Kl. 23-00;0,64658;0,64658;0,57191;0,45753;0,64658
2021-04-27 Kl. 00-01;0,63908;0,63908;0,63908;0,51126;0,63908
2021-04-27 Kl. 01-02;0,60883;0,60883;0,59916;0,47933;0,60883
2021-04-27 Kl. 02-03;0,60656;0,60656;0,59841;0,47873;0,60656
2021-04-27 Kl. 03-04;0,60205;0,60205;0,59213;0,47370;0,60205
2021-04-27 Kl. 04-05;0,61398;0,61398;0,61398;0,49118;0,61398
